lemma	homonym	doc
Maatalo	PROPN	overlaps more common *Maatalo* (country house)
Maatila	PROPN	overlaps more common *Maatila* (farm)
Maatunut	PROPN	overlaps more common *Maatunut* (composted)
Maavesi	PROPN	overlaps more common *Maavesi* (earth water)
Madame	PROPN	overlaps more common *Madame* (madame)
Made	PROPN	overlaps more common *Made* (fish)
Magma	PROPN	overlaps more common *Magma* (magma)
Magna	PROPN	overlaps more common *Magna* (magna)
Mahla	PROPN	overlaps more common *Mahla* (tree stuff)
Maho	PROPN	overlaps more common *Maho* (barren)
Maila	PROPN	overlaps more common *Maila* (bat)
Maili	PROPN	overlaps more common *Maili* (mile)
Maina	PROPN	overlaps more common *Maina* (FIXME)
Maine	PROPN	overlaps more common *Maine* (reputation)
Mainio	PROPN	overlaps more common *Mainio* (great)
Maisti	PROPN	overlaps more common *Maisti* (drunk)
Maitoinen	PROPN	overlaps more common *Maitoinen* (milky)
Maja	PROPN	overlaps more common *Maja* (hut)
Majakka	PROPN	overlaps more common *Majakka* (lighthouse)
Majapaikka	PROPN	overlaps more common *Majapaikka* (accom)
Majatalo	PROPN	overlaps more common *Majatalo* (inn)
Majava	PROPN	overlaps more common *Majava* (beaver)
Majuri	PROPN	overlaps more common *Majuri* (major)
Makkara	PROPN	overlaps  very common *makkara* (sausage).
Maksa	PROPN	overlaps more common *Maksa* (liver)
Maku	PROPN	overlaps  very common *maku* (taste).
Malja	PROPN	overlaps more common *Malja* (bowl)
Mallas	PROPN	overlaps more common *Mallas* (malt)
Mallasjuoma	PROPN	overlaps more common *Mallasjuoma* (malt drink)
Malli	PROPN	overlaps more common *Malli* (model)
Mallinen	PROPN	overlaps more common *Mallinen* (FIXME)
Malminen	PROPN	overlaps more common *Malminen* (FIXME)
Mamba	PROPN	overlaps more common *Mamba* (mamba)
Manga	PROPN	overlaps more common *Manga* (manga)
Mango	PROPN	overlaps more common *Mango* (mango)
Mankeli	PROPN	overlaps more common *Mankeli* (drier)
Mankka	PROPN	overlaps more common *Mankka* (radio)
Manna	PROPN	overlaps more common *Manna* (mana)
Manne	PROPN	overlaps more common *Manne* (gypsy)
Manner	PROPN	overlaps more common *Manner* (continent)
Mannermaa	PROPN	overlaps more common *Mannermaa* (continental land)
Mansikka	PROPN	overlaps more common *Mansikka* (strawberry)
Mansikkamaa	PROPN	overlaps more common *Mansikkamaa* (strawberry land)
Mansikkapelto	PROPN	overlaps more common *Mansikkapelto* (stawberry field)
Manteli	PROPN	overlaps more common *Manteli* (almond)
Mantere	PROPN	overlaps more common *Mantere* (continent)
Mantu	PROPN	overlaps more common *Mantu* (lands)
Marakatti	PROPN	overlaps more common *Marakatti* (chimpanzee)
Marina	PROPN	overlaps more common *Marina* (whine)
Marjalevä	PROPN	overlaps more common *Marjalevä* (berryseaweed)
Markka	PROPN	overlaps more common *Markka* (mark)
Markkanen	PROPN	overlaps more common *Markkanen* (marks)
Markkina	PROPN	overlaps  very common *markkina* (market).
Marras	PROPN	overlaps more common *Marras* (death)
Massa	PROPN	overlaps more common *Massa* (mass)
Masto	PROPN	overlaps more common *Masto* (mast)
Masu	PROPN	overlaps more common *Masu* (tummy)
Matala	PROPN	overlaps more common *Matala* (low)
Matalainen	PROPN	overlaps more common *Matalainen* (FIXME)
Matami	PROPN	overlaps more common *Matami* (madame)
Matikka	PROPN	overlaps more common *Matikka* (fish)
Matka	PROPN	overlaps  very common *matka* (trip).
Mato	PROPN	overlaps more common *Mato* (worm)
Matonen	PROPN	overlaps more common *Matonen* (worm)
Matroona	PROPN	overlaps more common *Matroona* (matron)
Matsi	PROPN	overlaps more common *Matsi* (match)
Maustaja	PROPN	overlaps more common *Maustaja* (spicer)
Media	PROPN	overlaps more common *Media* (media)
Mega	PROPN	overlaps more common *Mega* (mega)
Mehiläinen	PROPN	overlaps more common *Mehiläinen* (bee)
Mei	PROPN	overlaps forms of very common *me* (we).
Meijeri	PROPN	overlaps more common *Meijeri* (milk factory)
Meininki	PROPN	overlaps more common *Meininki* (happening)
Mela	PROPN	overlaps more common *Mela* (oar)
Mellakka	PROPN	overlaps more common *Mellakka* (riot)
Melto	PROPN	overlaps more common *Melto* (FIXME)
Menolippu	PROPN	overlaps more common *Menolippu* (ticket)
Merenlahti	PROPN	overlaps more common *Merenlahti* (FIXME)
Merenmies	PROPN	overlaps more common *Merenmies* (seaman)
Merenranta	PROPN	overlaps more common *Merenranta* (seacoast)
Merensaari	PROPN	overlaps more common *Merensaari* (sea island)
Merenselkä	PROPN	overlaps more common *Merenselkä* (seaback)
Meri	PROPN	overlaps more common *Meri* (sea)
Meridiaani	PROPN	overlaps more common *Meridiaani* (meridian)
Merihiekka	PROPN	overlaps more common *Merihiekka* (sea sand)
Merihirviö	PROPN	overlaps more common *Merihirviö* (sea monster)
Meriläinen	PROPN	overlaps more common *Meriläinen* (FIXME)
Merisatama	PROPN	overlaps more common *Merisatama* (sea docks)
Meritie	PROPN	overlaps more common *Meritie* (sea road)
Merituuli	PROPN	overlaps more common *Merituuli* (sea wind)
Merivirta	PROPN	overlaps more common *Merivirta* (sea stream)
Mesikämmen	PROPN	overlaps more common *Mesikämmen* (bear)
Mesiäinen	PROPN	overlaps more common *Mesiäinen* (FIXME)
Messu	PROPN	overlaps more common *Messu* (fair)
Mestari	PROPN	overlaps more common *Mestari* (master)
Meta	PROPN	overlaps more common *Meta* (meta)
Meteli	PROPN	overlaps more common *Meteli* (noise)
Metro	PROPN	overlaps more common *Metro* (metro)
Metsikkö	PROPN	overlaps more common *Metsikkö* (forest)
Metso	PROPN	overlaps more common *Metso* (bird)
Metsä	PROPN	overlaps  very common *metsä* (forest).
Metsäkana	PROPN	overlaps more common *Metsäkana* (forest chicken)
Metsäkukka	PROPN	overlaps more common *Metsäkukka* (forest flower)
Metsälampi	PROPN	overlaps more common *Metsälampi* (forest pond)
Metsäläinen	PROPN	overlaps more common *Metsäläinen* (forestling)
Metsämaa	PROPN	overlaps more common *Metsämaa* (forest land)
Metsämökki	PROPN	overlaps more common *Metsämökki* (forest hut)
Metsänhoitoyhdistys	PROPN	overlaps more common *Metsänhoitoyhdistys* (FIXME)
Metsäniitty	PROPN	overlaps more common *Metsäniitty* (forest grass)
Metsänreuna	PROPN	overlaps more common *Metsänreuna* (forest edge)
Metsänvartija	PROPN	overlaps more common *Metsänvartija* (ranger)
Metsäoja	PROPN	overlaps more common *Metsäoja* (froest ditch)
Metsäpalo	PROPN	overlaps more common *Metsäpalo* (forest fire)
Metsästysmaja	PROPN	overlaps more common *Metsästysmaja* (hunting hut)
Metsäteollisuus	PROPN	overlaps more common *Metsäteollisuus* (forestry)
Metsätyö	PROPN	overlaps more common *Metsätyö* (froest work)
Miehelä	PROPN	overlaps more common *Miehelä* (FIXME)
Miekka	PROPN	overlaps more common *Miekka* (sword)
Miele	PROPN	overlaps forms of very common *mieli* (mind, opinion).
Miero	PROPN	overlaps more common *Miero* (poor)
Mierolainen	PROPN	overlaps more common *Mierolainen* (poor)
Mies	PROPN	overlaps  very common *mies* (man).
Miete	PROPN	overlaps more common *Miete* (though)
Mieto	PROPN	overlaps more common *Mieto* (mild)
Mietti	PROPN	overlaps forms of very common *miettiä* (to think).
Mikro	PROPN	overlaps more common *Mikro* (micro)
Miljoona	PROPN	overlaps more common *Miljoona* (million)
Milli	PROPN	overlaps more common *Milli* (millimetre)
Mimmi	PROPN	overlaps more common *Mimmi* (gal)
Mimosa	PROPN	overlaps more common *Mimosa* (mimosa)
Mineraali	PROPN	overlaps more common *Mineraali* (mineral)
Missi	PROPN	overlaps more common *Missi* (miss)
Misu	PROPN	overlaps more common *Misu* (chick)
Mitätön	PROPN	overlaps more common *Mitätön* (void)
Mobile	PROPN	overlaps more common *Mobile* (mobile)
Modeemi	PROPN	overlaps more common *Modeemi* (modem)
Moi	PROPN	overlaps more common *Moi* (hi)
Mokka	PROPN	overlaps more common *Mokka* (mocca)
Monikko	PROPN	overlaps more common *Monikko* (plural)
Monni	PROPN	overlaps more common *Monni* (fish)
Mono	PROPN	overlaps more common *Mono* (ski boot)
Montaasi	PROPN	overlaps more common *Montaasi* (montage)
Moodi	PROPN	overlaps more common *Moodi* (mode)
Mora	PROPN	overlaps more common *Mora* (syllable, knife)
Moro	PROPN	overlaps more common *Moro* (hi)
Motto	PROPN	overlaps more common *Motto* (motto)
Moukka	PROPN	overlaps more common *Moukka* (fool)
MTV	PROPN	Music TeleVision
MTV3	PROPN	Mainos-Tele-Visio
Muhkura	PROPN	overlaps more common *Muhkura* (bump)
Muikku	PROPN	overlaps more common *Muikku* (fish)
Muisto	PROPN	overlaps more common *Muisto* (memory)
Mukula	PROPN	overlaps more common *Mukula* (kid, cobblestone)
Mullikka	PROPN	overlaps more common *Mullikka* (cow)
Multainen	PROPN	overlaps more common *Multainen* (dirty)
Multamaa	PROPN	overlaps more common *Multamaa* (dirtland)
Mummola	PROPN	overlaps more common *Mummola* (grandma’s)
Muna	PROPN	overlaps more common *Muna* (egg)
Munkki	PROPN	overlaps more common *Munkki* (doughnut)
Muona	PROPN	overlaps more common *Muona* (food)
Muori	PROPN	overlaps more common *Muori* (grandma)
Muotiala	PROPN	overlaps more common *Muotiala* (fashion business)
Muotti	PROPN	overlaps more common *Muotti* (mould)
Murheeton	PROPN	overlaps more common *Murheeton* (sorrowless)
Murju	PROPN	overlaps more common *Murju* (house)
Muro	PROPN	overlaps more common *Muro* (cereal)
Murros	PROPN	overlaps more common *Murros* (breakout)
Mursu	PROPN	overlaps more common *Mursu* (walrus)
Murto	PROPN	overlaps more common *Murto* (breakin)
Murtomaa	PROPN	overlaps more common *Murtomaa* (broken land)
Murto-osa	PROPN	overlaps more common *Murto-osa* (fraction)
Murtovesi	PROPN	overlaps more common *Murtovesi* (broken water)
Muru	PROPN	overlaps more common *Muru* (darling)
Musa	PROPN	overlaps more common *Musa* (music)
Museo	PROPN	overlaps more common *Museo* (museum)
Musta	PROPN	overlaps more common *Musta* (black)
Mustajuuri	PROPN	overlaps more common *Mustajuuri* (black root)
Mustalainen	PROPN	overlaps more common *Mustalainen* (gypsy)
Mustapää	PROPN	overlaps more common *Mustapää* (blackhead)
Mustasilmä	PROPN	overlaps more common *Mustasilmä* (shiner)
Mustikka	PROPN	overlaps more common *Mustikka* (blueberry)
Muta	PROPN	overlaps more common *Muta* (mud)
Mutainen	PROPN	overlaps more common *Mutainen* (muddy)
Mutka	PROPN	overlaps more common *Mutka* (turn)
Mutkamäki	PROPN	overlaps more common *Mutkamäki* (turn hill)
Mutku	PROPN	overlaps more common *Mutku* (but)
Mutta	PROPN	overlaps more common *Mutta* (but)
Muu	PROPN	overlaps  very common *muu* (other).
Muuli	PROPN	overlaps more common *Muuli* (mule)
Muunto	PROPN	overlaps more common *Muunto* (exchange)
Muurahainen	PROPN	overlaps more common *Muurahainen* (ant)
Muurain	PROPN	overlaps more common *Muurain* (cloudberry)
Muuri	PROPN	overlaps forms of very common *muuri* (wall).
Muusa	PROPN	overlaps more common *Muusa* (muse)
Muuttuja	PROPN	overlaps more common *Muuttuja* (variable)
Myhkyrä	PROPN	overlaps more common *Myhkyrä* (bump)
Mykkä	PROPN	overlaps more common *Mykkä* (mute)
Myky	PROPN	overlaps more common *Myky* (FIXME)
Mylly	PROPN	overlaps more common *Mylly* (mill)
Myllylampi	PROPN	overlaps more common *Myllylampi* (millpond)
Myllypato	PROPN	overlaps more common *Myllypato* (milldam)
Mylläri	PROPN	overlaps more common *Mylläri* (miller)
Myntti	PROPN	overlaps more common *Myntti* (coin)
Myrkky	PROPN	overlaps more common *Myrkky* (poison)
Mytty	PROPN	overlaps more common *Mytty* (clump)
Myyrä	PROPN	overlaps more common *Myyrä* (mole)
Myöntäjä	PROPN	overlaps more common *Myöntäjä* (giver)
Myötäinen	PROPN	overlaps more common *Myötäinen* (downwind)
Myötämäki	PROPN	overlaps more common *Myötämäki* (downhill)
Mäenrinne	PROPN	overlaps more common *Mäenrinne* (hill)
Mäki	PROPN	overlaps more common *Mäki* (hill)
Mäkimaa	PROPN	overlaps more common *Mäkimaa* (hill land)
Mäkinen	PROPN	overlaps more common *Mäkinen* (hilly)
Mäkitupa	PROPN	overlaps more common *Mäkitupa* (hill hut)
Mäkitupalainen	PROPN	overlaps more common *Mäkitupalainen* (hill hutter)
Mäkärä	PROPN	overlaps more common *Mäkärä* (mosquito)
Mäkäräinen	PROPN	overlaps more common *Mäkäräinen* (mosquito)
Mälli	PROPN	overlaps more common *Mälli* (cum)
Mämmi	PROPN	overlaps more common *Mämmi* (mämmi)
Männikkö	PROPN	overlaps more common *Männikkö* (pines)
Männistö	PROPN	overlaps more common *Männistö* (FIXME)
Mänty	PROPN	overlaps more common *Mänty* (pine)
Mättäikkö	PROPN	overlaps more common *Mättäikkö* (FIXME)
Mäyrä	PROPN	overlaps more common *Mäyrä* (mole)
Mökki	PROPN	overlaps more common *Mökki* (hut)
Mökkikylä	PROPN	overlaps more common *Mökkikylä* (hut village)
Mökä	PROPN	overlaps more common *Mökä* (noise)
Mölli	PROPN	overlaps more common *Mölli* (FIXME)
Möly	PROPN	overlaps more common *Möly* (noise)
Mömmö	PROPN	overlaps more common *Mömmö* (stuff)
Mörkö	PROPN	overlaps more common *Mörkö* (scary creature)
Mörsky	PROPN	overlaps more common *Mörsky* (FIXME)
Mörä	PROPN	overlaps forms of very common *möristä* (growl).
Mössö	PROPN	overlaps more common *Mössö* (mush)
Möykky	PROPN	overlaps more common *Möykky* (clump)
Möykkä	PROPN	overlaps more common *Möykkä* (noise)
Möyry	PROPN	overlaps more common *Möyry* (FIXME)
Naakka	PROPN	overlaps more common *Naakka* (bird)
Naali	PROPN	overlaps more common *Naali* (arctic fox)
Naapuri	PROPN	overlaps more common *Naapuri* (neighbour)
Naara	PROPN	overlaps more common *Naara* (FIXME)
Nafta	PROPN	overlaps more common *Nafta* (FIXME)
Naga	PROPN	overlaps more common *Naga* (FIXME)
Nahaton	PROPN	overlaps more common *Nahaton* (skinless)
Nahkahousut	PROPN	overlaps more common *Nahkahousut* (leather pants)
Nahkapää	PROPN	overlaps more common *Nahkapää* (bald)
Nahkiainen	PROPN	overlaps more common *Nahkiainen* (FIXME)
Nahkuri	PROPN	overlaps more common *Nahkuri* (leather tailor)
Naisliike	PROPN	overlaps more common *Naisliike* (feminist movement)
Nalikka	PROPN	overlaps more common *Nalikka* (FIXME)
Nalkki	PROPN	overlaps more common *Nalkki* (FIXME)
Nalle	PROPN	overlaps more common *Nalle* (bear)
Nalli	PROPN	overlaps more common *Nalli* (FIXME)
Nami	PROPN	overlaps more common *Nami* (yummy)
Nanna	PROPN	overlaps more common *Nanna* (grandma)
Napa	PROPN	overlaps more common *Napa* (pole)
Napapiiri	PROPN	overlaps more common *Napapiiri* (polar circle)
Napero	PROPN	overlaps more common *Napero* (kid)
Napina	PROPN	overlaps more common *Napina* (FIXME)
Nappula	PROPN	overlaps more common *Nappula* (kid)
Napukka	PROPN	overlaps more common *Napukka* (FIXME)
Narikka	PROPN	overlaps more common *Narikka* (cloakroom)
Narttu	PROPN	overlaps more common *Narttu* (bitch)
NASA	PROPN	National Air and Space A
Naskali	PROPN	overlaps more common *Naskali* (FIXME)
Nassakka	PROPN	overlaps more common *Nassakka* (FIXME)
Nasta	PROPN	overlaps more common *Nasta* (pin)
NATO	PROPN	North-Atlantic Terror Organisation
Nauha	PROPN	overlaps more common *Nauha* (tape)
Naula	PROPN	overlaps more common *Naula* (nail)
Nauru	PROPN	overlaps more common *Nauru* (laughter)
NBA	PROPN	National Basketball Association
Neilikka	PROPN	overlaps more common *Neilikka* (clove)
Neliapila	PROPN	overlaps more common *Neliapila* (clover)
Neliskulmainen	PROPN	overlaps more common *Neliskulmainen* (rectangular)
Neliö	PROPN	overlaps more common *Neliö* (square)
Nelonen	PROPN	overlaps more common *Nelonen* (four)
Nenä	PROPN	overlaps more common *Nenä* (nose)
Neon	PROPN	overlaps more common *Neon* (neon)
Neste	PROPN	overlaps more common *Neste* (liquid)
netti-tv	PROPN	net Tele-visio
Neula	PROPN	overlaps more common *Neula* (needle)
Neuvo	PROPN	overlaps more common *Neuvo* (advice)
Neuvola	PROPN	overlaps more common *Neuvola* (infirmary)
Neuvoton	PROPN	overlaps more common *Neuvoton* (hopeless)
Neva	PROPN	overlaps more common *Neva* (swamp)
Nevakorpi	PROPN	overlaps more common *Nevakorpi* (swamp)
Nevaniitty	PROPN	overlaps more common *Nevaniitty* (swamp)
NHL	PROPN	National Hockey League
Niekka	PROPN	overlaps more common *Niekka* (person)
Nielu	PROPN	overlaps more common *Nielu* (FIXME)
Niemeke	PROPN	overlaps more common *Niemeke* (FIXME)
Niemenkärki	PROPN	overlaps more common *Niemenkärki* (tip of peninsula)
Niemennenä	PROPN	overlaps more common *Niemennenä* (nose of peninsula)
Niemennokka	PROPN	overlaps more common *Niemennokka* (tip of peninsula)
Niemi	PROPN	overlaps more common *Niemi* (peninsula)
Niemimaa	PROPN	overlaps more common *Niemimaa* (FIXME)
Niitty	PROPN	overlaps more common *Niitty* (grass)
Niittykukka	PROPN	overlaps more common *Niittykukka* (grass flower)
Nikkari	PROPN	overlaps more common *Nikkari* (FIXME)
Nilkki	PROPN	overlaps more common *Nilkki* (slug)
Nimetön	PROPN	overlaps more common *Nimetön* (nameless)
Ninja	PROPN	overlaps more common *Ninja* (ninja)
Nipukka	PROPN	overlaps more common *Nipukka* (nip)
Nirri	PROPN	overlaps more common *Nirri* (life)
Nirvana	PROPN	overlaps more common *Nirvana* (nirvana)
Niska	PROPN	overlaps more common *Niska* (neck)
Niskaoja	PROPN	overlaps more common *Niskaoja* (FIXME)
Nisu	PROPN	overlaps more common *Nisu* (bun)
Niuha	PROPN	overlaps more common *Niuha* (tight)
Niukka	PROPN	overlaps more common *Niukka* (tight)
Nivel	PROPN	overlaps more common *Nivel* (FIXME)
Noita	PROPN	overlaps more common *Noita* (witch)
Nokare	PROPN	overlaps more common *Nokare* (FIXME)
Nokka	PROPN	overlaps more common *Nokka* (beak)
Nokkonen	PROPN	overlaps more common *Nokkonen* (nettle)
Nolo	PROPN	overlaps more common *Nolo* (embarasment)
Noppa	PROPN	overlaps more common *Noppa* (die)
Normi	PROPN	overlaps more common *Normi* (norm)
Noro	PROPN	overlaps more common *Noro* (FIXME)
Noronen	PROPN	overlaps more common *Noronen* (FIXME)
Norppa	PROPN	overlaps more common *Norppa* (seal)
Norssi	PROPN	overlaps more common *Norssi* (FIXME)
Notkelma	PROPN	overlaps more common *Notkelma* (FIXME)
Notko	PROPN	overlaps more common *Notko* (FIXME)
Nousema	PROPN	overlaps more common *Nousema* (raise)
Nousu	PROPN	overlaps more common *Nousu* (hike)
NPC	PROPN	Non-Player Character
Nuija	PROPN	overlaps more common *Nuija* (club)
Nukka	PROPN	overlaps more common *Nukka* (FIXME)
Nulikka	PROPN	overlaps more common *Nulikka* (brat)
Nummi	PROPN	overlaps more common *Nummi* (FIXME)
Nummimaa	PROPN	overlaps more common *Nummimaa* (FIXME)
Nunna	PROPN	overlaps more common *Nunna* (nun)
Nuoli	PROPN	overlaps more common *Nuoli* (arrow)
Nuoliainen	PROPN	overlaps more common *Nuoliainen* (FIXME)
Nuora	PROPN	overlaps more common *Nuora* (rope)
Nuorkauppakamari	PROPN	overlaps more common *Nuorkauppakamari* (FIXME)
Nuotanperä	PROPN	overlaps more common *Nuotanperä* (FIXME)
Nuotio	PROPN	overlaps more common *Nuotio* (campfire)
Nuotta-apaja	PROPN	overlaps more common *Nuotta-apaja* (fishing stuff)
Nuottakota	PROPN	overlaps more common *Nuottakota* (FIXME)
Nuotti	PROPN	overlaps more common *Nuotti* (note)
Nuottiavain	PROPN	overlaps more common *Nuottiavain* (key)
Nuppu	PROPN	overlaps more common *Nuppu* (FIXME)
Nurina	PROPN	overlaps more common *Nurina* (murmur)
Nurja	PROPN	overlaps more common *Nurja* (wrong side)
Nurkka	PROPN	overlaps more common *Nurkka* (corner)
Nurmi	PROPN	overlaps more common *Nurmi* (grass)
Nurmikko	PROPN	overlaps more common *Nurmikko* (grass)
Nurminen	PROPN	overlaps more common *Nurminen* (FIXME)
Nuttura	PROPN	overlaps more common *Nuttura* (FIXME)
Nykypäivä	PROPN	overlaps more common *Nykypäivä* (today)
Nyppylä	PROPN	overlaps more common *Nyppylä* (FIXME)
Nyrkki	PROPN	overlaps more common *Nyrkki* (fist)
Nähtävä	PROPN	overlaps more common *Nähtävä* (see)
Näkemä	PROPN	overlaps more common *Näkemä* (seen)
Näkemätön	PROPN	overlaps more common *Näkemätön* (unseen)
Näkyvä	PROPN	overlaps more common *Näkyvä* (visible)
Näköala	PROPN	overlaps more common *Näköala* (sight)
Nälkäinen	PROPN	overlaps more common *Nälkäinen* (hungry)
Nälkämaa	PROPN	overlaps more common *Nälkämaa* (hungerland)
Näppi	PROPN	overlaps more common *Näppi* (finger)
Näppärä	PROPN	overlaps more common *Näppärä* (handy)
Näpsä	PROPN	overlaps more common *Näpsä* (handy)
Närhi	PROPN	overlaps more common *Närhi* (bird)
Närä	PROPN	overlaps more common *Närä* (discontent)
Näsiä	PROPN	overlaps more common *Näsiä* (flower)
Nätkelmä	PROPN	overlaps more common *Nätkelmä* (FIXME)
Näätä	PROPN	overlaps more common *Näätä* (FIXME)
Oas	PROPN	overlaps more common *Oas* (FIXME)
Ohrapelto	PROPN	overlaps more common *Ohrapelto* (oatmeal field)
Ohukainen	PROPN	overlaps more common *Ohukainen* (pancake)
Oikeakätinen	PROPN	overlaps more common *Oikeakätinen* (righthanded)
Oikeusministeriö	PROPN	overlaps more common *Oikeusministeriö* (ministry of justice)
Oikotie	PROPN	overlaps more common *Oikotie* (shortcut)
Oinas	PROPN	overlaps more common *Oinas* (cancer)
Oiva	PROPN	overlaps more common *Oiva* (great)
Oja	PROPN	overlaps more common *Oja* (ditch)
Ojanvarsi	PROPN	overlaps more common *Ojanvarsi* (ditch)
Ojasto	PROPN	overlaps more common *Ojasto* (FIXME)
Ojennus	PROPN	overlaps more common *Ojennus* (handout)
Ojikko	PROPN	overlaps more common *Ojikko* (ditches)
OK	PROPN	not pronounced in words
Oka	PROPN	overlaps more common *Oka* (thorn)
Oksa	PROPN	overlaps more common *Oksa* (twig)
Ole	PROPN	overlaps forms of very common *olla* (to be).
Olento	PROPN	overlaps more common *Olento* (creature)
Olin	PROPN	overlaps forms of very common *olla* (to be).
Olkapää	PROPN	overlaps more common *Olkapää* (elbow)
Olkikatto	PROPN	overlaps more common *Olkikatto* (FIXME)
Olkinen	PROPN	overlaps more common *Olkinen* (FIXME)
Olla	PROPN	overlaps more common *Olla* (to be)
Olle	PROPN	overlaps forms of very common *olla* (to be).
Olo	PROPN	overlaps more common *Olo* (being)
Olympia	PROPN	overlaps more common *Olympia* (olympia)
Olympiakylä	PROPN	overlaps more common *Olympiakylä* (FIXME)
Oma	PROPN	overlaps more common *Oma* (own)
Ominainen	PROPN	overlaps more common *Ominainen* (natural)
Onginta	PROPN	overlaps more common *Onginta* (fishing)
Onkalo	PROPN	overlaps more common *Onkalo* (hole)
Onkki	PROPN	overlaps forms of very common *onki* (fishing rod).
Onnela	PROPN	overlaps more common *Onnela* (FIXME)
Onnenmaa	PROPN	overlaps more common *Onnenmaa* (FIXME)
Onneton	PROPN	overlaps more common *Onneton* (unhappy)
Onni	PROPN	overlaps  very common *onni* (happiness).
Ontto	PROPN	overlaps more common *Ontto* (hollow)
Opas	PROPN	overlaps more common *Opas* (guide)
Opus	PROPN	overlaps more common *Opus* (book)
Oranki	PROPN	overlaps more common *Oranki* (orangutang)
Oranssi	PROPN	overlaps more common *Oranssi* (orange)
Oraspelto	PROPN	overlaps more common *Oraspelto* (FIXME)
Orava	PROPN	overlaps more common *Orava* (squirrel)
Ori	PROPN	overlaps more common *Ori* (stud)
Orpo	PROPN	overlaps more common *Orpo* (orphan)
Orvokki	PROPN	overlaps more common *Orvokki* (flower)
Osa	PROPN	overlaps  very common *osa* (part).
Osta	PROPN	overlaps forms of very common *ostaa* (to buy).
Osuuspankki	PROPN	overlaps more common *Osuuspankki* (bank)
Otsa	PROPN	overlaps more common *Otsa* (forehead)
Otso	PROPN	overlaps more common *Otso* (bear)
Otsoni	PROPN	overlaps more common *Otsoni* (ozone)
Oulu	PROPN	a large city in North Finland, a high frequency proper noun
Paakari	PROPN	overlaps more common *Paakari* (baker)
Paarma	PROPN	overlaps more common *Paarma* (wasp)
Paasto	PROPN	overlaps more common *Paasto* (fast)
Paatti	PROPN	overlaps more common *Paatti* (boat)
Paavi	PROPN	overlaps more common *Paavi* (pope)
Paavilainen	PROPN	overlaps more common *Paavilainen* (FIXME)
Paavolainen	PROPN	overlaps more common *Paavolainen* (FIXME)
Pahka	PROPN	overlaps more common *Pahka* (FIXME)
Pahkurainen	PROPN	overlaps more common *Pahkurainen* (FIXME)
Pahlavi	PROPN	overlaps more common *Pahlavi* (FIXME)
Pahna	PROPN	overlaps more common *Pahna* (FIXME)
Paikka	PROPN	overlaps more common *Paikka* (place)
paikoin	PROPN	usually seen as adverb (in places), but can be analysed as instructive of the noun *paikka* (place)
Paimen	PROPN	overlaps more common *Paimen* (shepherd)
Painaa	PROPN	overlaps more common *Painaa* (push)
Paino	PROPN	overlaps more common *Paino* (weight)
Painua	PROPN	overlaps more common *Painua* (depress)
Paise	PROPN	overlaps more common *Paise* (boil)
Paisti	PROPN	overlaps more common *Paisti* (roast)
Paisto	PROPN	overlaps more common *Paisto* (roasting)
Paisua	PROPN	overlaps more common *Paisua* (swell)
Paja	PROPN	overlaps more common *Paja* (hut)
Pajari	PROPN	overlaps more common *Pajari* (weed)
Paju	PROPN	overlaps more common *Paju* (willow)
Pajukko	PROPN	overlaps more common *Pajukko* (willows)
Pakina	PROPN	overlaps more common *Pakina* (rant)
Pakka	PROPN	overlaps more common *Pakka* (deck)
Pakkanen	PROPN	overlaps more common *Pakkanen* (frost)
Pakki	PROPN	overlaps more common *Pakki* (reverse)
Pakotie	PROPN	overlaps more common *Pakotie* (escape route)
Paksu	PROPN	overlaps more common *Paksu* (fat)
Paksujalka	PROPN	overlaps more common *Paksujalka* (fat foot)
Pala	PROPN	overlaps more common *Pala* (piece)
Palanen	PROPN	overlaps more common *Palanen* (piece)
Palanut	PROPN	overlaps more common *Palanut* (burnt)
Palatsi	PROPN	overlaps more common *Palatsi* (palace)
Palava	PROPN	overlaps more common *Palava* (burning)
Paletti	PROPN	overlaps more common *Paletti* (palette)
Palkinpää	PROPN	overlaps more common *Palkinpää* (FIXME)
Palkki	PROPN	overlaps more common *Palkki* (balk)
Palkkio	PROPN	overlaps more common *Palkkio* (reward)
Palkkisilta	PROPN	overlaps more common *Palkkisilta* (FIXME)
Palko	PROPN	overlaps more common *Palko* (pea)
Pallo	PROPN	overlaps more common *Pallo* (ball)
Palmu	PROPN	overlaps more common *Palmu* (palm)
Palo	PROPN	overlaps more common *Palo* (burn)
Palokaivo	PROPN	overlaps more common *Palokaivo* (FIXME)
Palokärki	PROPN	overlaps more common *Palokärki* (FIXME)
Palopaikka	PROPN	overlaps more common *Palopaikka* (FIXME)
Palovaara	PROPN	overlaps more common *Palovaara* (FIXME)
Palsta	PROPN	overlaps more common *Palsta* (column)
Pam	PROPN	overlaps more common *Pam* (bam)
Pamppu	PROPN	overlaps more common *Pamppu* (club)
Panda	PROPN	overlaps more common *Panda* (panda)
Pankki	PROPN	overlaps more common *Pankki* (bank)
Panna	PROPN	overlaps more common *Panna* (ban)
Pannukakku	PROPN	overlaps more common *Pannukakku* (pancake)
Panostaja	PROPN	overlaps more common *Panostaja* (better)
Pantti	PROPN	overlaps more common *Pantti* (deposit)
Papatti	PROPN	overlaps more common *Papatti* (FIXME)
Paperinkeräys	PROPN	overlaps more common *Paperinkeräys* (FIXME)
